title,platform,genre,rating
Big Fish Casino,Windows PC,"Alcohol Reference, Simulated Gambling",Teen
Assassin's Creed IV: Black Flag,"PlayStation 3, Nintendo Switch, Wii U, Xbox 360","Blood, Sexual Themes, Strong Language, Use of Alcohol, Violence",Mature 17+
SimCity™: Cities of Tomorrow,"Macintosh, Windows PC",Mild Violence,Everyone 10+
Europa Universalis IV,"Linux, Macintosh, Windows PC","Drug Reference, Mild Language, Mild Sexual Themes, Mild Violence",Teen
Killzone:  Shadow Fall,PlayStation 4,"Blood, Intense Violence, Strong Language",Mature 17+
NBA 2K14,"PlayStation 4, Xbox One",No Descriptors,Everyone
Need for Speed™ Rivals,"Windows PC, PlayStation 3, Xbox 360",Mild Violence,Everyone 10+
FINAL EXAM,"PlayStation 3, Windows PC, Xbox 360","Violence, Blood, Mild Language, Crude Humor",Teen
Need for Speed™ Rivals,"PlayStation 4, Xbox One",Mild Violence,Everyone 10+
Flower,PlayStation 4,No Descriptors,Everyone
Grand Theft Auto: San Andreas,"Amazon, Android, iOS, Mobile Phone, Windows PC, Windows Phone","Blood and Gore, Intense Violence, Strong Language, Strong Sexual Content, Use of Drugs",Mature 17+
Diablo III: Reaper of Souls,"Macintosh, Windows PC, PlayStation 3, Xbox 360","Blood and Gore, Violence",Mature 17+
Rayman Legends,"PlayStation 4, Xbox One","Cartoon Violence, Comic Mischief",Everyone 10+
Outlast,"PlayStation 4, Windows PC, Xbox One","Intense Violence, Blood and Gore, Sexual Content, Nudity, Strong Language",Mature 17+
Plants vs. Zombies™ Garden Warfare,"Windows PC, PlayStation 3, Xbox 360","Animated Blood, Crude Humor, Fantasy Violence",Everyone 10+
Thief,"Windows PC, PlayStation 4, Xbox One","Blood, Nudity, Strong Language, Strong Sexual Content, Use of Drugs, Violence",Mature 17+
Infamous: Second Son,PlayStation 4,"Blood, Drug Reference, Language, Sexual Themes, Violence",Teen
Arma 3,Windows PC,"Intense Violence, Blood, Strong Language",Mature 17+
TowerFall Ascension,"PlayStation 4, PS Vita, Windows PC",Fantasy Violence,Everyone 10+
Murdered: Soul Suspect,"Windows PC, PlayStation 4, Xbox One","Blood, Intense Violence, Strong Language, Use of Alcohol",Mature 17+
Ultra Street Fighter IV,"Windows PC, PlayStation 3, Xbox 360","Alcohol Reference, Mild Language, Suggestive Themes, Violence",Teen
Fallout Tactics: Brotherhood of Steel,Windows PC,"Blood and Gore, Strong Language",Mature 17+
Fallout 2,Windows PC,"Blood and Gore, Strong Language",Mature 17+
The Amazing Spider-Man 2,"Windows PC, PlayStation 3, Wii U, Xbox 360","Mild Blood, Mild Suggestive Themes, Violence",Teen
Outlast: Whistleblower,"PlayStation 4, Windows PC","Intense Violence, Blood and Gore, Sexual Content, Nudity, Strong Language",Mature 17+
Sacred 3,"Windows PC, PlayStation 3, Xbox 360, Xbox One","Blood, Suggestive Themes, Violence",Mature 17+
TRANSFORMERS: Rise of the Dark Spark,"Windows PC, PlayStation 3, Wii U, Xbox 360",Violence,Teen
Diablo III: Reaper of Souls - Ultimate Evil Edition,"PlayStation 4, Xbox One","Blood and Gore, Partial Nudity, Violence",Mature 17+
Minecraft: Xbox One Edition,Xbox One,Fantasy Violence,Everyone 10+
Guacamelee! Super Turbo Championship Edition,"PlayStation 4, Wii U, Windows PC, Xbox 360, Xbox One","Fantasy Violence, Mild Blood, Suggestive Themes, Language, Use of Alcohol",Everyone 10+
NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution,"Windows PC, PlayStation 3, Xbox 360","Mild Blood, Mild Language, Suggestive Themes, Violence",Teen
The Wolf Among Us – Episode 5: Cry Wolf,"PlayStation 3, Windows PC, Xbox 360","Intense Violence, Blood and Gore, Sexual Themes, Partial Nudity, Strong Language, Use of Tobacco",Mature 17+
Scooby-Doo! & Looney Tunes Cartoon Universe: Adventure,Windows PC,Mild Fantasy Violence,Everyone
Forza Horizon 2,Xbox One,"Mild Lyrics, Mild Suggestive Themes, Mild Violence",Everyone 10+
Sunset Overdrive,Xbox One,"Blood and Gore, Drug Reference, Sexual Themes, Strong Language, Violence",Mature 17+
Pure Pool,"PlayStation 4, Windows PC, Xbox One",No Descriptors,Everyone
Killer Instinct,Xbox One,"Blood, Mild Suggestive Themes, Violence",Teen
Surgeon Simulator,PlayStation 4,"Violence, Blood",Teen
Alien: Isolation,"Windows PC, PlayStation 4, Xbox One","Blood, Strong Language, Violence",Mature 17+
Sleeping Dogs: Definitive Edition,"Windows PC, PlayStation 4, Xbox One","Blood and Gore, Intense Violence, Sexual Content, Strong Language, Use of Drugs",Mature 17+
CRIMES & PUNISHMENTS: SHERLOCK HOLMES,"Windows PC, PlayStation 4, Xbox One","Blood, Drug Reference, Violence",Mature 17+
Divinity: Original Sin,"Macintosh, Windows PC","Blood and Gore, Violence",Mature 17+
Dust: An Elysian Tail,PlayStation 4,"Fantasy Violence, Mild Language, Use of Tobacco",Everyone 10+
The Walking Dead: A Telltale Games Series – Season 2,"PlayStation 4, Xbox One","Blood and Gore, Intense Violence, Strong Language, Suggestive Themes, Use of Alcohol and Tobacco",Mature 17+
LEGO Batman 3: Beyond Gotham,"Windows PC, PlayStation 4, Xbox One",Cartoon Violence,Everyone 10+
Terraria,"PlayStation 4, Xbox One","Violence, Blood, Suggestive Themes, Use of Alcohol",Teen
IL-2 Sturmovik: Battle of Stalingrad,Windows PC,Violence,Teen
Gems of War,"Windows PC, Xbox One","Fantasy Violence, Mild Blood, Alcohol Reference, Crude Humor",Everyone 10+
FINAL FANTASY TYPE-0 HD,"PlayStation 4, Xbox One","Blood, Drug Reference, Suggestive Themes, Violence",Mature 17+
Resident Evil,"PlayStation 3, PlayStation 4, Windows PC, Xbox 360, Xbox One","Violence, Blood and Gore, Language",Mature 17+
DARK SOULS™ II: Scholar of the First Sin,"Windows PC, PlayStation 3, Xbox 360","Blood and Gore, Mild Language, Partial Nudity, Violence",Teen
Pneuma: Breath of Life,"PlayStation 4, Windows PC, Xbox One",No Descriptors,Everyone
Hotline Miami 2: Wrong Number,"PlayStation 3, PlayStation 4, PS Vita, Windows PC","Intense Violence, Blood and Gore, Sexual Themes, Partial Nudity, Strong Language, Use of Drugs",Mature 17+
Ori and the Blind Forest,"Windows PC, Xbox One",Mild Fantasy Violence,Everyone
METAL SLUG 3,"PlayStation 3, PlayStation 4, PS Vita","Violence, Blood and Gore, Crude Humor",Teen
Magicka 2,"Linux based PC, Macintosh, Windows PC, PlayStation 4","Blood and Gore, Mild Language, Violence",Teen
Mortal Kombat X,"Windows PC, PlayStation 4, Xbox One","Blood and Gore, Intense Violence, Strong Language",Mature 17+
World Class Casino,"iOS, Macintosh, Mobile Phone, Windows PC, Web Browser",Simulated Gambling,Teen
Assassin's Creed Chronicles: China,"PlayStation 4, Xbox One","Violence, Blood, Sexual Themes",Teen
The Last of Us:  Left Behind,"PlayStation 3, PlayStation 4","Intense Violence, Blood and Gore, Suggestive Themes, Strong Language, Use of Alcohol",Mature 17+
Lifeless Planet: Premier Edition,"PlayStation 4, Xbox One","Violence, Blood",Teen
RIDE,"Windows PC, PlayStation 4, Xbox One",Mild Language,Everyone
Lichdom: Battlemage,"PlayStation 4, Xbox One","Blood, Strong Language, Violence",Mature 17+
Quiplash,"PlayStation 3, PlayStation 4, Xbox One",Sexual Themes,Teen
Skullgirls 2nd Encore,"PlayStation 4, PS Vita","Violence, Blood and Gore, Suggestive Themes, Partial Nudity, Mild Language, Use of Tobacco",Teen
Rocket League,"PlayStation 4, Xbox One",Mild Lyrics,Everyone
No Time To Explain,"PlayStation 4, Xbox One","Violence, Blood",Teen
Prototype,"PlayStation 4, Xbox One","Intense Violence, Blood and Gore, Strong Language",Mature 17+
The Talos Principle,"iOS, Macintosh, Windows PC, PlayStation 4, Xbox One","Mild Language, Mild Sexual Themes, Mild Violence",Teen
Agatha Christie - The ABC Murders,"Windows PC, PlayStation 4, Xbox One","Blood, Use of Alcohol and Tobacco, Violence",Teen
Blues and Bullets - Episode 1,Xbox One,"Intense Violence, Blood and Gore, Strong Language",Mature 17+
Divinity: Original Sin - Enhanced Edition,"PlayStation 4, Xbox One","Blood and Gore, Violence",Mature 17+
The Witcher 3: Wild Hunt - Hearts of Stone,"Windows PC, PlayStation 4, Xbox One","Blood and Gore, Intense Violence, Nudity, Strong Language, Strong Sexual Content, Use of Alcohol",Mature 17+
Snoopy's Grand Adventure,"PlayStation 4, Xbox One",Mild Cartoon Violence,Everyone
Freedom Planet,"PlayStation 4, Wii U",Fantasy Violence,Everyone 10+
Super Meat Boy,"PlayStation 4, PS Vita","Language, Crude Humor, Cartoon Violence, Animated Blood",Teen
Minecraft Story Mode: The Order of the Stone,"PlayStation 3, PlayStation 4, Wii U, Xbox 360, Xbox One","Fantasy Violence, Mild Language",Everyone 10+
Back to the Future: The Game,"PlayStation 4, Xbox One","Drug and Alcohol Reference, Language, Mild Blood, Mild Violence, Sexual Themes",Teen
Earth Defense Force 4.1: The Shadow of New Despair,PlayStation 4,"Blood, Language, Violence",Mature 17+
Deadpool,"PlayStation 4, Xbox One","Blood and Gore, Intense Violence, Mature Humor, Sexual Content, Strong Language",Mature 17+
World of Warships,Windows PC,Violence,Teen
World of Tanks Blitz,Windows PC,Mild Violence,Teen
Battleborn,"Windows PC, PlayStation 4, Xbox One","Language, Violence",Teen
Grand Theft Auto Vice City,PlayStation 4,"Blood and Gore, Strong Language, Strong Sexual Content, Violence",Mature 17+
Nuclear Throne,"PlayStation 4, PS Vita","Fantasy Violence, Mild Blood, Mild Language",Everyone 10+
FINAL FANTASY VII,PlayStation 4,"Fantasy Violence, Blood, Language, Mild Suggestive Themes",Teen
XCOM 2,"Macintosh, Windows PC","Blood, Use of Tobacco, Violence",Teen
Beyond: Two Souls,PlayStation 4,"Blood, Intense Violence, Sexual Content, Strong Language, Use of Drugs and Alcohol",Mature 17+
Megadimension Neptunia VII,"Windows PC, PlayStation 4","Fantasy Violence, Language, Partial Nudity, Suggestive Themes",Teen
SENRAN KAGURA ESTIVAL VERSUS,PlayStation 4,"Partial Nudity, Sexual Themes, Strong Language, Violence",Mature 17+
Assassin's Creed Chronicles Trilogy,"PlayStation 4, Xbox One","Blood, Language, Violence",Teen
Plants vs. Zombies™ Garden Warfare 2,"Windows PC, PlayStation 4, Xbox One","Animated Blood, Crude Humor, Fantasy Violence",Everyone 10+
LEGO Marvel's Avengers,"Windows PC, PlayStation 4, Xbox One","Cartoon Violence, Comic Mischief",Everyone 10+
Dad Beat Dads,Xbox One,Violence,Teen
Car Mechanic Simulator 2015,Windows PC,No Descriptors,Everyone
Sherlock Holmes: The Devil's Daughter,"Windows PC, PlayStation 4, Xbox One","Blood and Gore, Drug Reference, Mild Language, Use of Alcohol and Tobacco, Violence",Teen
Sheltered,"PlayStation 4, Xbox One","Violence, Blood, Language, Crude Humor",Teen
Assetto Corsa,"Macintosh, Windows PC, PlayStation 4, Xbox One",Mild Language,Everyone
Teenage Mutant Ninja Turtles™: Mutants in Manhattan,"Windows PC, PlayStation 4, Xbox One",Fantasy Violence,Teen
Azkend 2: The World Beneath,"PlayStation 4, PS Vita, Xbox One",No Descriptors,Everyone
Total War: WARHAMMER,Windows PC,"Mild Blood, Mild Language, Violence",Teen
The Technomancer,"Windows PC, PlayStation 4, Xbox One","Blood, Drug Reference, Sexual Themes, Strong Language, Violence",Mature 17+
Dead Island: Riptide Definitive Edition,"PlayStation 4, Xbox One","Intense Violence, Blood and Gore, Sexual Themes, Strong Language, Use of Drugs and Alcohol",Mature 17+
Prison Architect,"PlayStation 4, Xbox One","Blood, Drug Reference, Partial Nudity, Sexual Content, Strong Language, Violence",Mature 17+
Grim Legends: The Forsaken Bride,"PlayStation 4, Xbox One","Violence, Mild Blood, Use of Alcohol",Teen
Attack on Titan,"Windows PC, PlayStation 4, Xbox One","Blood and Gore, Partial Nudity, Violence",Mature 17+
Trials of the Blood Dragon,"PlayStation 4, Xbox One","Violence, Blood, Suggestive Themes, Drug Reference, Language",Teen
Song of the Deep,"Windows PC, PlayStation 4, Xbox One",Mild Fantasy Violence,Everyone
Guilty Gear Xrd -REVELATOR-,PlayStation 4,"Blood and Gore, Language, Sexual Themes, Use of Alcohol and Tobacco, Violence",Teen
WORLD OF FINAL FANTASY,"Windows PC, PlayStation 4","Alcohol Reference, Fantasy Violence, Mild Language, Mild Suggestive Themes",Everyone 10+
Hyper Light Drifter,"PlayStation 4, Xbox One","Violence, Blood and Gore",Teen
Risk Urban Assault,"PlayStation 3, PlayStation 4, Xbox 360, Xbox One",Mild Violence,Everyone 10+
Overcooked,"PlayStation 4, Xbox One",Mild Cartoon Violence,Everyone
Ape Escape 2,PlayStation 4,"Comic Mischief, Mild Violence",Everyone
Warhammer: End Times - Vermintide,"Windows PC, PlayStation 4, Xbox One","Blood and Gore, Violence",Mature 17+
Slime Rancher,Xbox One,Fantasy Violence,Everyone 10+
Dogos,"PlayStation 4, Xbox One","Fantasy Violence, Mild Blood, Mild Language",Everyone 10+
Pure Chess Grandmaster Edition,Xbox One,No Descriptors,Everyone
Fabled Legends: The Dark Piper,Windows PC,"Alcohol and Tobacco Reference, Mild Blood, Mild Violence",Teen
Don't Starve Together: Console Edition,"PlayStation 4, Xbox One","Fantasy Violence, Crude Humor",Teen
Battlezone,PlayStation 4,Fantasy Violence,Teen
Titanfall 2,"Windows PC, PlayStation 4, Xbox One","Blood and Gore, Language, Violence",Mature 17+
Paladins,"PlayStation 4, Windows PC, Xbox One","Violence, Blood, Suggestive Themes",Teen
Aragami,PlayStation 4,"Blood, Violence",Mature 17+
The Elder Scrolls V: Skyrim Special Edition,"Windows PC, PlayStation 4, Xbox One","Blood and Gore, Intense Violence, Sexual Themes, Use of Alcohol",Mature 17+
Dear Esther: Landmark Edition,"PlayStation 4, Xbox One","Drug Reference, Language",Teen
Mount & Blade: Warband,"Windows PC, PlayStation 4, Xbox One","Alcohol Reference, Blood, Mild Language, Mild Suggestive Themes, Violence",Teen
Until Dawn™: Rush of Blood,PlayStation 4,"Blood and Gore, Intense Violence, Strong Language",Mature 17+
A Bastard's Tale,PlayStation 4,"Violence, Blood",Teen
Manual Samuel,"PlayStation 4, Xbox One","Violence, Blood, Suggestive Themes, Language, Crude Humor, Use of Tobacco",Teen
Ape Escape 3,PlayStation 4,"Cartoon Violence, Crude Humor",Everyone 10+
PAC-MAN CHAMPIONSHIP EDITION 2 + ARCADE GAME SERIES,"PlayStation 4, Xbox One",No Descriptors,Everyone
Nebula Realms,PlayStation 4,Simulated Gambling,Mature 17+
Call of Duty: Infinite Warfare,"Windows PC, PlayStation 4, Xbox One","Blood and Gore, Drug Reference, Intense Violence, Strong Language, Suggestive Themes",Mature 17+
Rise of the Tomb Raider: 20 Year Celebration,Xbox One,"Blood and Gore, Intense Violence, Strong Language",Mature 17+
Killing Floor 2,"PlayStation 4, Xbox One","Blood and Gore, Intense Violence, Language, Partial Nudity",Mature 17+
Batman: The Telltale Series - Guardian Of Gotham,"PlayStation 3, PlayStation 4, Xbox One","Violence, Blood and Gore, Language, Use of Drugs",Mature 17+
Amnesia Collection,PlayStation 4,"Violence, Blood and Gore, Nudity, Strong Language",Mature 17+
Trove,"PlayStation 4, Xbox One",Fantasy Violence,Everyone 10+
Batman The Telltale Series,"PlayStation 4, Xbox One","Blood and Gore, Language, Violence",Mature 17+
ASTRONEER,Xbox One,Mild Fantasy Violence,Everyone
Pit People,Xbox One,"Violence, Blood, Crude Humor",Teen
Berserk and the Band of the Hawk,"Windows PC, PlayStation 4","Blood and Gore, Intense Violence, Language, Partial Nudity, Sexual Content",Mature 17+
Grand Theft Auto: Episodes from Liberty City,Xbox One,"Blood and Gore, Intense Violence, Nudity, Strong Language, Strong Sexual Content, Use of Drugs and Alcohol",Mature 17+
theHunter: Call of the Wild,Windows PC,"Blood, Violence",Teen
1-2-Switch,Nintendo Switch,Mild Violence,Everyone 10+
Atelier Firis: The Alchemist and the Mysterious Journey,"Windows PC, PlayStation 4","Fantasy Violence, Language, Partial Nudity, Use of Alcohol",Teen
LEGO City: Undercover,Nintendo Switch,"Cartoon Violence, Crude Humor",Everyone 10+
Bloons TD 5,"PlayStation 4, Xbox One",No Descriptors,Everyone
LEGO City: Undercover,"Windows PC, PlayStation 4, Xbox One","Cartoon Violence, Crude Humor",Everyone 10+
Sniper Ghost Warrior 3,"Windows PC, PlayStation 4, Xbox One","Blood and Gore, Drug Reference, Intense Violence, Sexual Themes, Strong Language",Mature 17+
Mass Effect™: Andromeda,"Windows PC, PlayStation 4, Xbox One","Blood, Nudity, Strong Language, Strong Sexual Content, Violence",Mature 17+
Rain World,PlayStation 4,"Fantasy Violence, Mild Blood, Tobacco Reference",Everyone 10+
GOD WARS Future Past,PlayStation 4,"Fantasy Violence, Mild Blood, Mild Language, Mild Suggestive Themes",Teen
Dark Souls™ III: The Fire Fades™ Edition,"PlayStation 4, Xbox One","Blood, Violence",Mature 17+
Zero Escape: The Nonary Games,PlayStation 4,"Blood, Drug Reference, Sexual Themes, Strong Language, Violence",Mature 17+
Puyo Puyo™ Tetris®,PlayStation 4,"Comic Mischief, Mild Suggestive Themes",Everyone 10+
The Silver Case,"Windows PC, PlayStation 4","Blood, Sexual Themes, Strong Language, Violence",Mature 17+
Shadow Tactics - Blades of the Shogun,"PlayStation 4, Xbox One","Blood and Gore, Violence",Mature 17+
FlatOut 4: Total Insanity,"Windows PC, PlayStation 4, Xbox One","Lyrics, Violence",Teen
NARUTO SHIPPUDEN: Ultimate Ninja STORM Trilogy,"PlayStation 4, Xbox One","Blood, Mild Language, Mild Suggestive Themes, Violence",Teen
Job Simulator,PlayStation 4,Crude Humor,Everyone 10+
Outlast Trinity,"PlayStation 4, Xbox One","Blood and Gore, Intense Violence, Nudity, Strong Language, Strong Sexual Content",Mature 17+
Farpoint,PlayStation 4,"Blood and Gore, Strong Language, Violence",Mature 17+
Sine Mora EX,"Windows PC, PlayStation 4, Xbox One","Fantasy Violence, Sexual Themes, Strong Language",Mature 17+
Crash Bandicoot (TM) N. Sane Trilogy,PlayStation 4,"Cartoon Violence, Comic Mischief",Everyone 10+
Human Fall Flat,"PlayStation 4, Xbox One",No Descriptors,Everyone
BUTCHER,"PlayStation 4, Xbox One","Violence, Blood and Gore, Strong Language",Mature 17+
Incredible Worlds Battle Pack,Windows PC,"Blood, Use of Alcohol, Violence",Teen
The Surge,"Windows PC, PlayStation 4, Xbox One","Blood and Gore, Intense Violence, Strong Language",Mature 17+
Star Ocean Till the End of Time,PlayStation 4,"Violence, Blood, Partial Nudity, Mild Language",Teen
Crossout,"PlayStation 4, Xbox One",Violence,Teen
SpeedRunners,"PlayStation 4, Xbox One","Mild Fantasy Violence, Mild Language",Everyone
DiRT 4,"Windows PC, PlayStation 4, Xbox One",Mild Lyrics,Teen
ARMS,Nintendo Switch,Cartoon Violence,Everyone 10+
Utawarerumono: Mask of Deception,PlayStation 4,"Blood, Partial Nudity, Sexual Themes, Strong Language, Violence",Mature 17+
Nex Machina,PlayStation 4,"Fantasy Violence, Blood",Teen
Mario + Rabbids: Kingdom Battle,Nintendo Switch,"Cartoon Violence, Comic Mischief, Mild Language",Everyone 10+
Jak X: Combat Racing,PlayStation 4,"Crude Humor, Fantasy Violence, Language, Use of Tobacco",Teen
