title,platform,genre,rating
Skullgirls 2nd Encore,Nintendo Switch,"Blood and Gore, Mild Language, Partial Nudity, Suggestive Themes, Use of Tobacco, Violence",Teen
Pillars of Eternity II Deadfire Ultimate Edition,"Windows PC, PlayStation 4, Nintendo Switch, Xbox One","Blood and Gore, Nudity, Sexual Themes, Strong Language, Violence",Mature 17+
Dreams,PlayStation 4,"Fantasy Violence, Language",Teen
Marvel's Iron Man VR,PlayStation 4,"Mild Language, Violence",Teen
Yakuza 0,Xbox One,"Blood, Intense Violence, Sexual Content, Strong Language, Use of Alcohol",Mature 17+
GORN,PlayStation 4,"Blood and Gore, Intense Violence, Language",Mature 17+
Bleeding Edge,"Windows PC, Xbox One","Blood, Violence",Teen
Streets of Rage 4,"PlayStation 4, Nintendo Switch, Xbox One","Cartoon Violence, Mild Language, Mild Suggestive Themes",Teen
Metro: Last Light Redux,"Stadia, Nintendo Switch","Blood, Intense Violence, Nudity, Sexual Content, Strong Language, Use of Drugs and Alcohol",Mature 17+
Metro 2033 Redux,"Stadia, Nintendo Switch","Blood, Sexual Themes, Strong Language, Use of Drugs, Violence",Mature 17+
Borderlands: The Pre-Sequel,Nintendo Switch,"Blood, Language, Sexual Themes, Violence",Mature 17+
Borderlands 2,Nintendo Switch,"Blood and Gore, Intense Violence, Language, Sexual Themes, Use of Alcohol",Mature 17+
Borderlands,Nintendo Switch,"Blood and Gore, Intense Violence, Mature Humor, Strong Language",Mature 17+
BioShock: The Collection,Nintendo Switch,"Blood and Gore, Drug Reference, Intense Violence, Sexual Themes, Strong Language, Use of Alcohol and Tobacco",Mature 17+
Mafia III: Definitive Edition,"Macintosh, Windows PC, PlayStation 4, Stadia, Xbox One","Blood and Gore, Intense Violence, Nudity, Strong Language, Strong Sexual Content, Use of Drugs and Alcohol",Mature 17+
Utawarerumono: Prelude to the Fallen,PlayStation 4,"Blood, Partial Nudity, Strong Language, Suggestive Themes, Violence",Mature 17+
Mr. DRILLER DrillLand,Windows PC,"Alcohol Reference, Mild Cartoon Violence",Everyone
13 Sentinels: Aegis Rim,PlayStation 4,"Fantasy Violence, Language, Partial Nudity",Teen
CrossCode,"PlayStation 4, Nintendo Switch","Fantasy Violence, Language",Teen
Hidden Objects Collection for the Nintendo Switch™,Nintendo Switch,"Mild Blood, Mild Violence, Use of Alcohol",Teen
UFC 4,"PlayStation 5, Xbox Series X","Blood, Language, Mild Suggestive Themes, Violence",Teen
Stardew Valley,"Linux, Macintosh, Windows PC","Fantasy Violence, Mild Blood, Mild Language, Simulated Gambling, Use of Alcohol and Tobacco",Everyone 10+
Phantasy Star Online 2,Windows PC,"Blood, Partial Nudity, Strong Language, Violence",Mature 17+
Atelier Ryza 2: Lost Legends & the Secret Fairy,"Windows PC, PlayStation 4, PlayStation 5, Nintendo Switch","Fantasy Violence, Suggestive Themes, Use of Alcohol",Teen
Kingdoms of Amalur: Re-Reckoning,"Windows PC, PlayStation 4, Xbox One","Blood and Gore, Intense Violence, Suggestive Themes",Mature 17+
Serious Sam 4,"PlayStation 5, Stadia","Blood and Gore, Drug Reference, Intense Violence, Partial Nudity, Strong Language",Mature 17+
Death end re;Quest 2,"Windows PC, PlayStation 4","Blood, Language, Suggestive Themes, Violence",Mature 17+
Darkwood,PlayStation 4,"Blood and Gore, Partial Nudity, Strong Language, Violence",Mature 17+
Madden NFL 21,"Windows PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series",Mild Lyrics,Everyone
République,"PlayStation 4, Stadia, Nintendo Switch","Blood, Strong Language, Violence",Mature 17+
Warhammer: Chaosbane,"PlayStation 5, Xbox Series","Blood and Gore, Violence",Mature 17+
Untitled Goose Game,"PlayStation 4, Nintendo Switch",No Descriptors,Everyone
Piofiore: Fated Memories,Nintendo Switch,"Blood, Drug Reference, Sexual Themes, Strong Language, Violence",Mature 17+
Kaze and the Wild Masks,"PlayStation 4, Stadia, Nintendo Switch, Xbox One",Mild Fantasy Violence,Everyone
Just Dance 2021,"PlayStation 4, PlayStation 5, Stadia, Nintendo Switch, Xbox One, Xbox Series",Mild Lyrics,Everyone
DIRT 5,"PlayStation 4, PlayStation 5, Xbox One, Xbox Series X",No Descriptors,Everyone
Devil May Cry 5 Special Edition,"PlayStation 5, Xbox Series","Blood, Partial Nudity, Strong Language, Violence",Mature 17+
Puyo Puyo Tetris 2,"Windows PC, PlayStation 4, PlayStation 5, Nintendo Switch, Xbox One, Xbox Series",Mild Suggestive Themes,Everyone 10+
Katamari Damacy REROLL,"PlayStation 4, Xbox One, Xbox Series","Alcohol and Tobacco Reference, Mild Fantasy Violence",Everyone
Ys IX: Monstrum Nox,"Windows PC, PlayStation 4, Nintendo Switch","Fantasy Violence, Language, Mild Blood, Suggestive Themes, Use of Tobacco",Teen
Mad Rat Dead,"PlayStation 4, Nintendo Switch","Blood and Gore, Cartoon Violence",Teen
DUSK,Nintendo Switch,"Blood and Gore, Use of Alcohol and Tobacco, Violence",Mature 17+
Shantae,Nintendo Switch,"Cartoon Violence, Suggestive Themes",Everyone 10+
Need for Speed Hot Pursuit Remastered,"Windows PC, PlayStation 4, Nintendo Switch, Xbox One","Mild Lyrics, Mild Violence",Everyone 10+
Werewolf: The Apocalypse - Earthblood,"Windows PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series","Blood, Drug Reference, Strong Language, Violence",Mature 17+
Overcooked! All You Can Eat,"PlayStation 5, Xbox Series",Mild Cartoon Violence,Everyone
Space Invaders Forever,"PlayStation 4, Nintendo Switch",Mild Fantasy Violence,Everyone
Nioh 2 Remastered – The Complete Edition,PlayStation 5,"Blood and Gore, Suggestive Themes, Violence",Mature 17+
Nioh Remastered The Complete Edition,PlayStation 5,"Blood and Gore, Violence",Mature 17+
Maneater,"PlayStation 5, Xbox Series","Blood and Gore, Drug Reference, Intense Violence, Mature Humor, Mild Language",Mature 17+
